title;keywords;annotation;class
Ensemble of HMM classifiers based on the clustering validity index for a handwritten numeral recognizer;"hidden markov models; ensemble of classifiers; codebook size; clustering validity index; pattern recognition;";A new scheme for the optimization of codebook sizes for Hidden Markov Models (HMMs) and the generation of HMM ensembles is proposed in this paper. In a discrete HMM, the vector quantization procedure and the generated codebook are associated with performance degradation. By using a selected clustering validity index, we show that the optimization of HMM codebook size can be selected without training HMM classifiers. Moreover, the proposed scheme yields multiple optimized HMM classifiers, and each individual HMM is based on a different codebook size. By using these to construct an ensemble of HMM classifiers, this scheme can compensate for the degradation of a discrete HMM.;1
Distributional-based texture classification using non-parametric statistics;"texture classification; non-parametric distance; distributional metric; statistical graph matching; texture features;";Texture classification is an important problem in image analysis. In the present study, an efficient strategy for classifying texture images is introduced and examined within a distributional-statistical framework. Our approach incorporates the multivariate Wald_Wolfowitz test (WW-test), a non-parametric statistical test that measures the similarity between two different sets of multivariate data, which is utilized here for comparing texture distributions. By summarizing the texture information using standard feature extraction methodologies, the similarity measure provides a comprehensive estimate of the match between different images based on graph theory. The proposed _distributional metric_ is shown to handle efficiently the texture-space dimensionality and the limited sample size drawn from a given image. The experimental results, from the application on a typical texture database, clearly demonstrate the effectiveness of our approach and its superiority over other well-established texture distribution (dis)similarity metrics. In addition, its performance is used to evaluate several approaches for texture representation. Even though the classification results are obtained on grayscale images, a direct extension to color-based ones can be straightforward.;1
Extraction and optimization of fuzzy association rules using multi-objective genetic algorithm;"fuzzy association rules; multi-objective genetic algorithms; fuzzy k-means clustering;";Association Rule Mining is one of the important data mining activities and has received substantial attention in the literature. Association rule mining is a computationally and I/O intensive task. In this paper, we propose a solution approach for mining optimized fuzzy association rules of different orders. We also propose an approach to define membership functions for all the continuous attributes in a database by using clustering techniques. Although single objective genetic algorithms are used extensively, they degenerate the solution. In our approach, extraction and optimization of fuzzy association rules are done together using multi-objective genetic algorithm by considering the objectives such as fuzzy support, fuzzy confidence and rule length. The effectiveness of the proposed approach is tested using computer activity dataset to analyze the performance of a multi processor system and network audit data to detect anomaly based intrusions. Experiments show that the proposed method is efficient in many scenarios.;1
Rotation-Invariant Texture Retrieval via Signature Alignment Based on Steerable Sub-Gaussian Modeling;"feature extraction; image retrieval; image texture; decomposition levels; feature extraction; fractional lower order moments; matrix-based norm; orientation subbands; rotation-invariance property; rotation-invariant texture retrieval; signature alignment; similarity measurement; steerable multivariate sub-gaussian model; steerable pyramid; computer science; feature extraction; image databases; image retrieval; information retrieval; iron; performance evaluation; rotation measurement; samarium; spatial databases; fractional lower-order moments (flom); rotation-invariant texture retrieval; steerable multivariate sub-gaussian model; algorithms; artificial intelligence; computer simulation; image enhancement; image interpretation, computer-assisted; models, statistical; normal distribution; pattern recognition, automated; rotation; subtraction technique;""";This paper addresses the construction of a novel efficient rotation-invariant texture retrieval method that is based on the alignment in angle of signatures obtained via a steerable sub-Gaussian model. In our proposed scheme, we first construct a steerable multivariate sub-Gaussian model, where the fractional lower-order moments of a given image are associated with those of its rotated versions. The feature extraction step consists of estimating the so-called covariations between the orientation subbands of the corresponding steerable pyramid at the same or at adjacent decomposition levels and building an appropriate signature that can be rotated directly without the need of rotating the image and recalculating the signature. The similarity measurement between two images is performed using a matrix-based norm that includes a signature alignment in angle between the images being compared, achieving in this way the desired rotation-invariance property. Our experimental results show how this retrieval scheme achieves a lower average retrieval error, as compared to previously proposed methods having a similar computational complexity, while at the same time being competitive with the best currently known state-of-the-art retrieval system. In conclusion, our retrieval method provides the best compromise between complexity and average retrieval performance.;1
Entropy-Coded Lattice Vector Quantization Dedicated to the Block Mixture Densities;"gaussian processes; data compression; edge detection; entropy codes; image coding; image segmentation; image texture; pattern clustering; rate distortion theory; vector quantisation; wavelet transforms; block mixture density; codebook; dead zone lattice vector quantizers; entropy-coded lattice vector quantization; image compression; image edge; image texture; independent identically distributed generalized gaussian source; joint vector distribution; multidimensional mixture of generalized gaussian density; rate-distortion tradeoff; thresholding vector; vector clustering; wavelet coding; wavelet domain; analytical rate-distortion model; lattice vector quantization (lvq); mixture of gamma densities; mixture of generalized gaussian densities (mggd); sparsity; vector dead zone; algorithms; computer simulation; data compression; image enhancement; image interpretation, computer-assisted; models, statistical; reproducibility of results; sensitivity and specificity; signal processing, computer-assisted;""";Entropy-coded lattice vector quantization (ECLVQ) with codebooks dedicated to independent identically distributed (i.i.d.) generalized Gaussian sources have proven their high coding performances in the wavelet domain. It is well known that wavelet coefficients with high magnitude (corresponding to edges and textures) tend to be clustered in a few amount of vectors. In this paper, we first show that this property has a major influence on the performances of ECLVQ schemes. Since this clustering property cannot be taken into account by the classical i.i.d. assumption, our first proposal is to model the joint distribution of vectors by a multidimensional mixture of generalized Gaussian (MMGG) densities. The main outcome of this MMGG model is to provide a theoretical framework to simply derive from i.i.d. - models, the corresponding MMGG - models. In a second part, a new codebook better suited to wavelet coding is proposed: the so-called dead zone lattice vector quantizers (DZLVQ). It consists of generalizing the scalar dead zone to vector quantization by thresholding vectors according to their energy. We show that DZLVQ improves the rate-distortion tradeoff. Experimental results are provided for the pyramidal LVQ scheme under the assumption of a multidimensional mixture of Laplacian (MML) densities. Results performed on a set of real life images show the precision of the analytical - curves and the efficiency of the DZLVQ scheme.;1
A Hybrid Color and Frequency Features Method for Face Recognition;"face recognition; feature extraction; frequency-domain analysis; image classification; image colour analysis; cff; efm; enhanced fisher model; face recognition; feature extraction; frequency domain; hybrid color-frequency feature method; image classification; application software; color; computer vision; discrete fourier transforms; displays; face recognition; feature extraction; frequency domain analysis; pattern recognition; space technology; enhanced fisher model (efm); face recognition grand challenge (frgc); the &lt;emphasis emphasistype=&#034;boldital&#034;&gt;riq&lt;/emphasis&gt; color space; algorithms; artificial intelligence; biometry; color; colorimetry; face; humans; image enhancement; image interpretation, computer-assisted; pattern recognition, automated; reproducibility of results; sensitivity and specificity;""";This correspondence presents a novel hybrid Color and Frequency Features (CFF) method for face recognition. The CFF method, which applies an Enhanced Fisher Model (EFM), extracts the complementary frequency features in a new hybrid color space for improving face recognition performance. The new color space, the RIQ color space, which combines the R component image of the RGB color space and the chromatic components I and Q of the YIQ color space, displays prominent capability for improving face recognition performance due to the complementary characteristics of its component images. The EFM then extracts the complementary features from the real part, the imaginary part, and the magnitude of the R image in the frequency domain. The complementary features are then fused by means of concatenation at the feature level to derive similarity scores for classification. The complementary feature extraction and feature level fusion procedure applies to the I and Q component images as well. Experiments on the Face Recognition Grand Challenge (FRGC) version 2 Experiment 4 show that i) the hybrid color space improves face recognition performance significantly, and ii) the complementary color and frequency features further improve face recognition performance.;1
A novel and quick SVM-based multi-class classifier;"svm; multi-class classifier; objective function;";Use different real positive numbers pipi to represent all kinds of pattern categories, after mapping the inputted patterns into a special feature space by a non-linear mapping, a linear relation between the mapped patterns and numbers pipi is assumed, whose bias and coefficients are undetermined, and the hyper-plane corresponding to zero output of the linear relation is looked as the base hyper-plane. To determine the pending parameters, an objective function is founded aiming to minimize the difference between the outputs of the patterns belonging to a same type and the corresponding pipi, and to maximize the distance between any two different hyper-planes corresponding to different pattern types. The objective function is same to that of support vector regression in form, so the coefficients and bias of the linear relation are calculated by some known methods such as SVMlightSVMlight approach. Simultaneously, three methods are also given to determine pipi, the best one is to determine them in training process, which has relatively high accuracy. Experiment results of the IRIS data set show that, the accuracy of this method is better than those of many SVM-based multi-class classifiers, and close to that of DAGSVM (decision-directed acyclic graph SVM), emphatically, the recognition speed is the highest.;2
Understanding gestures with systematic variations in movement dynamics;"sign language recognition; gesture recognition; bayesian networks; classifier combination; independent channels; signer adaptation;";Sign language communication includes not only lexical sign gestures but also grammatical processes which represent inflections through systematic variations in sign appearance. We present a new approach to analyse these inflections by modelling the systematic variations as parallel channels of information with independent feature sets. A Bayesian network framework is used to combine the channel outputs and infer both the basic lexical meaning and inflection categories. Experiments using a simulated vocabulary of six basic signs and five different inflections (a total of 20 distinct gestures) obtained from multiple test subjects yielded 85.0% recognition accuracy. We also propose an adaptation scheme to extend a trained system to recognize gestures from a new person by using only a small set of data from the new person. This scheme yielded 88.5% recognition accuracy for the new person while the unadapted system yielded only 52.6% accuracy.;2
Compression and recognition of dance gestures using a deformable model;"contemporary dance; data compression; deformable model; gesture recognition; hidden markov model; motion capture;";In this paper, we aim for the recognition of a set of dance gestures from contemporary ballet. Our input data are motion trajectories followed by the joints of a dancing body provided by a motion-capture system. It is obvious that direct use of the original signals is unreliable and expensive. Therefore, we propose a suitable tool for non-uniform sub-sampling of spatiotemporal signals. The key to our approach is the use of a deformable model to provide a compact and efficient representation of motion trajectories. Our dance gesture recognition method involves a set of hidden Markov models (HMMs), each of them being related to a motion trajectory followed by the joints. The recognition of such movements is then achieved by matching the resulting gesture models with the input data via HMMs. We have validated our recognition system on 12 fundamental movements from contemporary ballet performed by four dancers.;2
Nonlinear approximation based image recovery using adaptive sparse reconstructions and iterated denoising-part II: adaptive algorithms;"adaptive signal processing; image denoising; image reconstruction; image resolution; iterative methods; mean square error methods; transforms; adaptive sparse reconstructions; image recovery; image texture; iterated methods; linear transform; nonlinear approximation; nonstationary signals; progressive algorithm; adaptive algorithm; algorithm design and analysis; approximation algorithms; data models; engineering profession; image edge detection; image reconstruction; image segmentation; noise reduction; signal processing; error concealment; image recovery; inpainting; iterated denoising; nonlinear approximation; sparse recovery; sparse representations; algorithms; artificial intelligence; computer graphics; computer simulation; image enhancement; image interpretation, computer-assisted; imaging, three-dimensional; information storage and retrieval; models, statistical; nonlinear dynamics; pattern recognition, automated; reproducibility of results; sensitivity and specificity; signal processing, computer-assisted;""";We combine the main ideas introduced in Part I with adaptive techniques to arrive at a powerful algorithm that estimates missing data in nonstationary signals. The proposed approach operates automatically based on a chosen linear transform that is expected to provide sparse decompositions over missing regions such that a portion of the transform coefficients over missing regions are zero or close to zero. Unlike prevalent algorithms, our method does not necessitate any complex preconditioning, segmentation, or edge detection steps, and it can be written as a progression of denoising operations. We show that constructing estimates based on nonlinear approximants is fundamentally a nonconvex problem and we propose a progressive algorithm that is designed to deal with this issue directly. The algorithm is applied to images through an extensive set of simulation examples, primarily on missing regions containing textures, edges, and other image features that are not readily handled by established estimation and recovery methods. We discuss the properties required of good transforms, and in conjunction, show the types of regions over which well-known transforms provide good predictors. We further discuss extensions of the algorithm where the utilized transforms are also chosen adaptively, where unpredictable signal components in the progressions are identified and not predicted, and where the prediction scenario is more general.;3
Comparison between immersion-based and toboggan-based watershed image segmentation;"image segmentation; immersion-based watershed image segmentation; order-invariant algorithms; toboggan-based watershed image segmentation; biomedical imaging; computer science; computer vision; councils; electronic mail; image color analysis; image segmentation; information science; inspection; testing; immersion approach; order-invariance; toboggan approach; watershed image segmentation; algorithms; image enhancement; image interpretation, computer-assisted; imaging, three-dimensional; information storage and retrieval; pattern recognition, automated; signal processing, computer-assisted;""";"Watershed segmentation has recently become a popular tool for image segmentation. There are two approaches to implementing watershed segmentation: immersion approach and toboggan simulation. Conceptually, the immersion approach can be viewed as an approach that starts from low altitude to high altitude and the toboggan approach as an approach that starts from high altitude to low altitude. The former seemed to be more popular recently (e.g., Vincent and Soille), but the latter had its own supporters (e.g., Mortensen and Barrett). It was not clear whether the two approaches could lead to exactly the same segmentation result and which approach was more efficient. In this paper, we present two ""order-invariant"" algorithms for watershed segmentation, one based on the immersion approach and the other on the toboggan approach. By introducing a special RIDGE label to achieve the property of order-invariance, we find that the two conceptually opposite approaches can indeed obtain the same segmentation result. When running on a Pentium-III PC, both of our algorithms require only less than 1/30 s for a 256 &times; 256 image and 1/5 s for a 512 &times; 512 image, on average. What is more surprising is that the toboggan algorithm, which is less well known in the computer vision community, turns out to run faster than the immersion algorithm for almost all the test images we have used, especially when the image is large, say, 512 &times; 512 or larger. This paper also gives some explanation as to why the toboggan algorithm can be more efficient in most cases.";3
A modified SPIHT algorithm for image coding with a joint MSE and classification distortion measure;"data compression; hidden markov models; image classification; image coding; image segmentation; mean square error methods; quantisation (signal); bayes tree-structured vector quantization; lagrangian distortion; mse; classification distortion; hidden markov tree; image coding; image-recognition; kernel matching pursuits method; mean-squared error; modified spiht algorithm; set partitioning in hierarchical trees algorithm; textural segmentation; wavelet-based progressive image-compression technique; algorithm design and analysis; bit rate; decoding; distortion measurement; hidden markov models; image coding; kernel; matching pursuit algorithms; partitioning algorithms; wavelet coefficients; classification; hidden markov tree (hmt); image segmentation; set partitioning in hierarchical trees (spiht); vector quantization (vq); algorithms; computer communication networks; data compression; image enhancement; image interpretation, computer-assisted; least-squares analysis; markov chains; models, statistical; reproducibility of results; sensitivity and specificity; signal processing, computer-assisted;""";The set partitioning in hierarchical trees (SPIHT) algorithm is an efficient wavelet-based progressive image-compression technique, designed to minimize the mean-squared error (MSE) between the original and decoded imagery. However, the MSE-based distortion measure is not in general well correlated with image-recognition quality, especially at low bit rates. Specifically, low-amplitude wavelet coefficients that may be important for classification are given low priority by conventional SPIHT. In this paper, we use the kernel matching pursuits (KMP) method to autonomously estimate the importance of each wavelet subband for distinguishing between different textures, with textural segmentation first performed via a hidden Markov tree. Based on subband importance determined via KMP, we scale the wavelet coefficients prior to SPIHT coding, with the goal of minimizing a Lagrangian distortion based jointly on the MSE and classification error. For comparison we consider Bayes tree-structured vector quantization (B-TSVQ), also designed to obtain a tradeoff between MSE and classification error. The performances of the original SPIHT, the modified SPIHT, and B-TSVQ are compared.;3
Space-time image sequence analysis: object tunnels and occlusion volumes;"hidden feature removal; image motion analysis; image segmentation; image sequences; object detection; motion detection; object detection; object tunnels; occlusion volumes; space time image sequence analysis; spatiotemporal segmentation; volume competition; active contours; image analysis; image segmentation; image sequence analysis; image sequences; motion detection; motion estimation; object detection; performance analysis; spatiotemporal phenomena; active surfaces; level set methods; motion detection; video segmentation; volume competition; algorithms; artificial intelligence; image enhancement; image interpretation, computer-assisted; imaging, three-dimensional; information storage and retrieval; motion; pattern recognition, automated; subtraction technique; time factors; video recording;""";"We address the issue of image sequence analysis jointly in space and time. While typical approaches to such an analysis consider two image frames at a time, we propose to perform this analysis jointly over multiple frames. We concentrate on spatiotemporal segmentation of image sequences and on analysis of occlusion effects therein. The segmentation process is three-dimensional (3-D); we search for a volume carved out by each moving object in the image sequence domain, or ""object tunnel"", a new space-time concept. We pose the problem in variational framework by using only motion information (no intensity edges). The resulting formulation can be viewed as volume competition, a 3-D generalization of region competition. We parameterize the unknown surface to be estimated, but rather than using an active-surface approach, we embed it into a higher dimensional function and apply the level-set methodology. We first develop simple models for the detection of moving objects over static background; no motion models are needed. Then, in order to improve segmentation accuracy, we incorporate motion models for objects and background. We further extend the method by including explicit models for occluded and newly exposed areas that lead to ""occlusion volumes,"" another new space-time concept. Since, in this case, multiple volumes are sought, we apply a multiphase variant of the level-set method. We present various experimental results for synthetic and natural image sequences.";3
Detecting fingerprint minutiae by run length encoding scheme;"fingerprint; minutiae; feature extraction; minutiae extraction; run length encoding;";Many approaches to minutiae extraction have already been proposed for automatic fingerprint matching, and most transform fingerprint images into binary images through state-of-the-art algorithms and submit the binary image to a thinning process. However, this paper proposes an original technique for extracting minutiae based on representing the ridge structure of a fingerprint image as a run length code (RLC). The essential idea is to detect minutiae by searching for the termination points or bifurcation points of ridges in the RLC, rather than in a fingerprint image. Experimental results and a comparative analysis show that the proposed method is fairly reliable and faster than a conventional thinning-based method.;3
Overlapping and multi-touching text-line segmentation by Block Covering analysis;"block covering; text-line segmentation; overlapping and multi-touching lines; block counting; ancient arabic documents;";This paper presents a new approach for text-line segmentation based on Block Covering which solves the problem of overlapping and multi-touching components. Block Covering is the core of a system which processes a set of ancient Arabic documents from historical archives. The system is designed for separating text-lines even if they are overlapping and multi-touching. We exploit the Block Covering technique in three steps: a new fractal analysis (Block Counting) for document classification, a statistical analysis of block heights for block classification and a neighboring analysis for building text-lines. The Block Counting fractal analysis, associated with a fuzzy C-means scheme, is performed on document images in order to classify them according to their complexity: tightly (closely) spaced documents (TSD) or widely spaced documents (WSD). An optimal Block Covering is applied on TSD documents which include overlapping and multi-touching lines. The large blocks generated by the covering are then segmented by relying on the statistical analysis of block heights. The final labeling into text-lines is based on a block neighboring analysis. Experimental results provided on images of the Tunisian Historical Archives reveal the feasibility of the Block Covering technique for segmenting ancient Arabic documents.;3
Semi-supervised discriminative classification with application to tumorous tissues segmentation of MR brain images;"magnetic resonance imaging (mri); brain tumor segmentation; semi-automated segmentation; gaussian random field (grf); gaussian process (gp);";Due to the large data size of 3D MR brain images and the blurry boundary of the pathological tissues, tumor segmentation work is difficult. This paper introduces a discriminative classification algorithm for semi-automated segmentation of brain tumorous tissues. The classifier uses interactive hints to obtain models to classify normal and tumor tissues. A non-parametric Bayesian Gaussian random field in the semi-supervised mode is implemented. Our approach uses both labeled data and a subset of unlabeled data sampling from 2D/3D images for training the model. Fast algorithm is also developed. Experiments show that our approach produces satisfactory segmentation results comparing to the manually labeled results by experts.;3
A multi-scale template method for shape detection with bio-medical applications;"non-parametric deformable template; non-affine transformations; image segmentation; dynamic breast imaging; ultrasonography; computed tomography; pet;";In this paper we present a novel methodology based on non-parametric deformable prototype templates for reconstructing the outline of a shape from a degraded image. Our method is versatile and fast and has the potential to provide an automatic procedure for classifying pathologies. We test our approach on synthetic and real data from a variety of medical and biological applications. In these studies it is important to reconstruct accurately the shape of the object under investigation from very noisy data. Here we assume that we have some prior knowledge about the object outline represented by a prototype shape. Our procedure deforms this shape by means of non-affine transformations and the contour is reconstructed by minimizing a newly developed objective function that depends on the transformation parameters. We introduce an iterative template deformation procedure in which the scale of the deformation decreases as the algorithm proceeds. We compare our results with those from a Gaussian Mixture Model segmentation and two state-of-the-art Level Set methods. This comparison shows that the proposed procedure performs consistently well on both real and simulated data. As a by-product we develop a new filter that recovers the connectivity of a shape.;3
Fusion of textural statistics using a similarity measure: application to texture recognition and segmentation;"non-parametric feature statistics; feature fusion and selection; texture recognition; mrf-based texture segmentation;";Features computed as statistics (e.g. histograms) of local filter responses have been reported as the most powerful descriptors for texture classification and segmentation. The selection of the filter banks remains however a crucial issue, as well as determining a relevant combination of these descriptors. To cope with selection and fusion issues, we propose a novel approach relying on the definition of the texture-based similarity measure as a weighted sum of the Kullback_Leibler measures between empirical feature statistics. Within a supervised framework, the weighting factors are estimated according to the maximization of a margin-based criterion. This weighting scheme can also be considered as a filter selection method: texture filter response distributions are ranked according to the associated weighting factors so that the problem of selecting a subset of filters reduces to picking the first features only. An application of this similarity measure to texture recognition is reported. We also investigate its use for texture segmentation within a Bayesian Markov Random Field (MRF)-based framework. Experiments carried out on Brodatz textures and sonar images show that the proposed weighting method improves the classification and the segmentation rates while relying on a parsimonious texture representation.;3
